CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,Room_Efficiency,Location_Convenience,Quiet_Livability,Edu_Tax_Balance,Composite_Risk,River_Premium_Factor,Highway_Grade_Score
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,22.21283783783784,1.5910000000000002,1.0461013176577454,-0.506756756756758,0.40449472651459406,0.0,5
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6,26.533057851239672,3.00658,1.1600079540759365,-5.785123966942151,0.3775456273875145,0.0,4
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7,29.6900826446281,3.00658,0.8356873701668558,-5.785123966942151,0.2365409875812991,0.0,4
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4,31.52252252252252,4.18134,0.6254068466548072,-8.333333333333332,0.18388707800735538,0.0,3
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2,32.193693693693696,4.18134,0.7778648278898737,-8.333333333333332,0.25024857973664416,0.0,3
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7,28.963963963963963,4.18134,0.8208975448949412,-8.333333333333332,0.24649672290986602,0.0,3
0.08829,12,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9,19.331189710610932,7.2197499999999994,1.2372868103741503,-0.32154340836012746,0.582183416623848,0.0,1
0.14455,12,7.87,0,0.524,6.172,96.1,5.9505,5,311.0,15.2,396.9,19.15,27.1,19.845659163987136,7.02475,1.7265277785847069,-0.32154340836012746,0.7682462290353655,0.0,1
0.21124,12,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5,18.106109324758844,6.95895,2.064153925816913,-0.32154340836012746,1.066457177209407,0.0,1
0.17004,12,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9,19.30546623794212,6.70395,1.5649141056911016,-0.32154340836012746,0.7119654015712433,0.0,1
0.22489,12,7.87,0,0.524,6.377,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0,20.5048231511254,6.82665,1.7438621531513334,-0.32154340836012746,0.8050211959447958,0.0,1
0.11747,12,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9,19.321543408360128,6.8866499999999995,1.4283337954581425,-0.32154340836012746,0.6056902007353855,0.0,1
0.09378,12,7.87,0,0.524,5.889,39.0,5.4509,5,311.0,15.2,390.5,15.71,21.7,18.935691318327976,7.27455,1.0435514882397587,-0.32154340836012746,0.6727528491694901,0.0,1
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,20.4,19.377850162866448,6.117000000000001,1.1015935959353,-9.77198697068404,0.502009768068588,0.0,2
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26,18.2,19.85667752442997,6.2152400000000005,1.3905608425552702,-9.77198697068404,0.5572895720606112,0.0,2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307.0,21.0,395.62,8.47,19.9,19.003257328990227,6.20056,1.0528053936996038,-9.77198697068404,0.507777831826765,0.0,2
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307.0,21.0,386.85,6.58,23.1,19.332247557003257,6.20056,0.7205294918847207,-9.77198697068404,0.4604197207044822,0.0,2
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307.0,21.0,386.75,14.67,17.5,19.5114006514658,6.29684,1.483413332989792,-9.77198697068404,0.6806220161230778,0.0,2
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307.0,21.0,288.99,11.69,20.2,17.77198697068404,6.4814,0.936714133466304,-9.77198697068404,0.5986004834862484,0.0,2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307.0,21.0,390.95,11.28,18.2,18.654723127035833,6.4814,1.2642266203087982,-9.77198697068404,0.5864225678460708,0.0,2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307.0,21.0,376.57,21.02,13.6,18.143322475570034,6.480840000000001,1.8275321267960454,-9.77198697068404,0.8610983655360519,0.0,2
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307.0,21.0,392.53,13.83,19.6,19.429967426710096,6.39508,1.5374744838481273,-9.77198697068404,0.6582057134194055,0.0,2
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307.0,21.0,396.9,18.72,15.2,20.006514657980457,6.4092400000000005,1.6981549116176828,-9.77198697068404,0.7974154297297668,0.0,2
0.98843,0,8.14,0,0.538,5.813,100.0,4.0952,4,307.0,21.0,394.54,19.88,14.5,18.934853420195438,6.3619200000000005,1.8156426293843513,-9.77198697068404,0.8266813089914272,0.0,2
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307.0,21.0,394.33,16.3,15.6,19.296416938110752,6.24016,1.6560946564927916,-9.77198697068404,0.7252184636510386,0.0,2
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9,18.237785016286647,6.218160000000001,1.5753806046175487,-9.77198697068404,0.7320278910707154,0.0,2
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307.0,21.0,376.88,14.81,16.6,18.934853420195438,6.1272,1.575844953744436,-9.77198697068404,0.6832230382547427,0.0,2
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307.0,21.0,306.38,17.28,14.8,19.697068403908794,6.218640000000001,1.628553694875197,-9.77198697068404,0.7545702891061361,0.0,2
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4,21.156351791530945,6.218120000000001,1.5626058883990899,-9.77198697068404,0.6288955769247759,0.0,2
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307.0,21.0,380.23,11.98,21.0,21.73941368078176,6.3044,1.4668584624960246,-9.77198697068404,0.6088477204331917,0.0,2
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307.0,21.0,360.17,22.6,12.7,18.60912052117264,6.3068,1.8299357160954406,-9.77198697068404,0.903336813500679,0.0,2
1.35472,0,8.14,0,0.538,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04,14.5,19.778501628664497,6.33,1.6269009075300467,-9.77198697068404,0.6420565984222901,0.0,2
