种类,标题,摘要,链接
时政,习近平：以更大力度更实举措加强基础研究,中共中央总书记、国家主席、中央军委主席习近平4月30日上午在上海出席加强基础研究座谈会并发表重要讲话，强调要进一步打牢科技强国建设根基。,https://pc.hgdaily.com.cn/p/492714.html#comment
时政,外交部发布中方关于日本拥核问题的工作文件,外交部发布工作文件，呼吁国际社会警惕并坚决反对日本拥核，强调日本作为《不扩散核武器条约》无核武器缔约国必须履行国际法义务。,https://pc.hgdaily.com.cn/p/492714.html#comment
时政,南部战区位黄岩岛领海领空及周边区域组织战备警巡,中国人民解放军南部战区组织海空兵力位中国黄岩岛领海领空及周边海空域开展战备警巡。,https://pc.hgdaily.com.cn/p/492714.html#comment
财经,中美经贸牵头人举行视频通话,国务院副总理何立峰与美方牵头人贝森特和格里尔举行视频通话，中方就近期美对华经贸限制措施表达严正关切，双方同意继续发挥好中美经贸磋商机制作用。,https://m.cnfin.com/hg-lb//zixun/20260501/4407636_1.html
财经,三部门联合发文扩大科技创新和技术改造贷款投放,中国人民银行、国家发展改革委、财政部联合印发通知，将研发投入水平较高的民营中小企业纳入再贷款政策支持领域，着力做好对企业购买人工智能设备和软件服务的金融服务。,https://m.cnfin.com/hg-lb//zixun/20260501/4407636_1.html
财经,广州天津出台楼市新政,广州提高公积金贷款额度并发放“卖旧买新”专项补贴；天津推出11条举措，鼓励购买改善性住房并给予退税优惠。,https://www.hnsjb.cn/content/tuijian/20260501/1227211.html
社会,湖北监利发生3.7级地震,据中国地震台网测定，5月1日3时39分湖北荆州市监利市发生3.7级地震，震源深度8千米。暂未收到财产损失和人员伤亡报告，应急响应工作已展开。,https://news.cnr.cn/local/dftj/20260501/t20260501_527607227.shtml
社会,云南元阳县发生客车侧翻事故,4月30日，云南省红河州元阳县一辆客车发生侧翻事故，造成7人死亡、12人受伤。国务院安委会办公室决定对该起事故查处挂牌督办。,https://pc.hgdaily.com.cn/p/492714.html#comment
社会,中央网信办部署开展“清朗·整治AI应用乱象”专项行动,中央网信办印发通知，在全国范围内部署开展为期4个月的专项行动，重点整治利用AI“魔改”经典、生成“数字泔水”等突出问题。,https://pc.hgdaily.com.cn/p/492714.html#comment
国际,美国一季度经济增长低于预期且通胀压力升高,美国商务部数据显示，2026年第一季度美国GDP环比按年率计算增长2%，低于市场预期；3月PCE价格指数同比涨幅达3.5%，为2023年6月以来最高水平。,https://m.cnfin.com/hg-lb//zixun/20260501/4407636_1.html
